년도,지방청,경찰서,경찰관
2016년,경북,포항남부,417
2016년,경북,구미,627
2016년,경북,경산,384
2016년,경북,안동,329
2016년,경북,김천,273
2016년,경북,영주,220
2016년,경북,영천,224
2016년,경북,상주,234
2016년,경북,문경,187
2016년,경북,칠곡,223
2016년,경북,의성,172
2016년,경북,청도,118
2016년,경북,영덕,121
2016년,경북,울진,142
2016년,경북,봉화,111
2016년,경북,예천,126
2016년,경북,성주,126
2016년,경북,청송,101
2016년,경북,영양,83
2016년,경북,군위,99
2016년,경북,고령,101
2016년,경북,울릉,58
2016년,경남,창원중부,418
2016년,경남,창원서부,315
2016년,경남,마산중부,285
2016년,경남,마산동부,368
2016년,경남,진주,496
2016년,경남,김해중부,440
2016년,경남,김해서부,274
2016년,경남,거제,348
2016년,경남,양산,364
2016년,경남,진해,237
2016년,경남,통영,249
2016년,경남,사천,221
2016년,경남,밀양,205
2016년,경남,거창,165
2016년,경남,합천,158
2016년,경남,창녕,157
2016년,경남,고성,159
2016년,경남,하동,149
2016년,경남,남해,137
2016년,경남,함양,129
2016년,경남,산청,126
2016년,경남,함안,157
2016년,경남,의령,133
2016년,제주,제주동부,441
2016년,제주,제주서부,350
2016년,제주,서귀포,332
2017년,서울,서울중부,514
2017년,서울,서울종로,641
2017년,서울,서울남대문,494
2017년,서울,서울서대문,659
2017년,서울,서울혜화,475
2017년,서울,서울용산,683
2017년,서울,서울성북,536
2017년,서울,서울동대문,804
2017년,서울,서울마포,849
2017년,서울,서울영등포,958
2017년,서울,서울성동,634
2017년,서울,서울동작,661
2017년,서울,서울광진,691
2017년,서울,서울서부,408
2017년,서울,서울강북,655
2017년,서울,서울금천,569
2017년,서울,서울중랑,747
2017년,서울,서울강남,802
2017년,서울,서울관악,848
2017년,서울,서울강서,895
2017년,서울,서울강동,733
2017년,서울,서울종암,408
2017년,서울,서울구로,735
2017년,서울,서울서초,685
2017년,서울,서울양천,765
2017년,서울,서울송파,"1,018"
2017년,서울,서울노원,803
2017년,서울,서울방배,365
2017년,서울,서울은평,495
2017년,서울,서울도봉,550
2017년,서울,서울수서,621
2017년,부산,부산중부,311
2017년,부산,부산동래,531
2017년,부산,부산영도,368
2017년,부산,부산동부,401
2017년,부산,부산진,821
2017년,부산,부산서부,347
2017년,부산,부산남부,743
2017년,부산,부산해운대,701
2017년,부산,부산사상,502
2017년,부산,부산금정,516
2017년,부산,부산사하,578
2017년,부산,부산연제,549
2017년,부산,부산강서,316
2017년,부산,부산북부,460
2017년,부산,부산기장,315
2017년,대구,대구중부,397
2017년,대구,대구동부,645
2017년,대구,대구서부,456
2017년,대구,대구남부,391
2017년,대구,대구북부,433
2017년,대구,대구수성,645
2017년,대구,대구달서,430
2017년,대구,대구성서,537
2017년,대구,대구달성,349
2017년,대구,대구강북,348
2017년,인천,인천중부,548
2017년,인천,인천남부,722
2017년,인천,인천남동,554
2017년,인천,인천부평,470
2017년,인천,인천삼산,457
2017년,인천,인천서부,671
2017년,인천,인천계양,482
2017년,인천,인천연수,436
2017년,인천,인천강화,208
2017년,인천,인천논현,391
2017년,광주,광주동부,369
2017년,광주,광주서부,553
2017년,광주,광주남부,362
2017년,광주,광주북부,714
2017년,광주,광주광산,564
2017년,대전,대전중부,447
2017년,대전,대전동부,465
2017년,대전,대전서부,364
2017년,대전,대전대덕,336
2017년,대전,대전둔산,422
2017년,대전,대전유성,427
2017년,울산,울산중부,549
2017년,울산,울산남부,632
2017년,울산,울산동부,375
2017년,울산,울산울주,377
2017년,경기남부,수원중부,612
2017년,경기남부,수원남부,724
2017년,경기남부,수원서부,490
2017년,경기남부,안양동안,469
2017년,경기남부,안양만안,425
2017년,경기남부,군포,395
2017년,경기남부,성남수정,520
2017년,경기남부,성남중원,489
2017년,경기남부,분당,585
2017년,경기남부,부천소사,349
2017년,경기남부,부천원미,798
2017년,경기남부,부천오정,329
2017년,경기남부,광명,477
2017년,경기남부,안산단원,728
2017년,경기남부,안산상록,573
2017년,경기남부,시흥,737
2017년,경기남부,평택,803
2017년,경기남부,화성동부,675
2017년,경기남부,화성서부,438
2017년,경기남부,용인동부,661
2017년,경기남부,용인서부,356
2017년,경기남부,광주,430
2017년,경기남부,김포,490
2017년,경기남부,과천,181
2017년,경기남부,의왕,221
2017년,경기남부,하남,259
2017년,경기남부,이천,358
2017년,경기남부,안성,328
2017년,경기남부,여주,265
2017년,경기남부,양평,257
2017년,경기북부,의정부,737
2017년,경기북부,고양,523
2017년,경기북부,일산동부,473
2017년,경기북부,일산서부,357
2017년,경기북부,남양주,719
2017년,경기북부,파주,563
2017년,경기북부,양주,306
2017년,경기북부,동두천,215
2017년,경기북부,구리,355
2017년,경기북부,포천,353
2017년,경기북부,가평,192
2017년,경기북부,연천,161
2017년,강원,춘천,470
2017년,강원,강릉,401
2017년,강원,원주,555
2017년,강원,동해,223
2017년,강원,태백,151
2017년,강원,속초,292
2017년,강원,삼척,216
2017년,강원,영월,139
2017년,강원,정선,159
2017년,강원,홍천,189
2017년,강원,평창,138
2017년,강원,횡성,134
2017년,강원,고성,114
2017년,강원,인제,120
2017년,강원,철원,125
2017년,강원,화천,104
2017년,강원,양구,101
2017년,충북,청주흥덕,493
2017년,충북,청주상당,350
2017년,충북,청주청원,377
2017년,충북,충주,344
2017년,충북,제천,261
2017년,충북,영동,149
2017년,충북,괴산,166
2017년,충북,단양,110
2017년,충북,보은,126
2017년,충북,옥천,137
2017년,충북,음성,214
2017년,충북,진천,159
2017년,충남,천안서북,442
2017년,충남,천안동남,406
2017년,충남,서산,262
2017년,충남,논산,258
2017년,충남,아산,405
2017년,충남,공주,240
2017년,충남,보령,248
2017년,충남,당진,259
2017년,충남,세종,298
2017년,충남,홍성,210
2017년,충남,예산,179
2017년,충남,부여,188
2017년,충남,서천,163
2017년,충남,금산,140
2017년,충남,청양,131
2017년,충남,태안,162
2017년,전북,전주완산,555
2017년,전북,전주덕진,521
2017년,전북,군산,526
2017년,전북,익산,503
2017년,전북,정읍,310
2017년,전북,남원,260
2017년,전북,김제,243
2017년,전북,완주,205
2017년,전북,고창,170
2017년,전북,부안,175
2017년,전북,임실,122
2017년,전북,순창,116
2017년,전북,진안,127
2017년,전북,장수,101
2017년,전북,무주,105
2017년,전남,목포,627
2017년,전남,여수,513
2017년,전남,순천,485
2017년,전남,나주,258
2017년,전남,광양,270
2017년,전남,고흥,202
2017년,전남,해남,204
2017년,전남,무안,192
